backend,operation,count,mean_sec,median_sec,std_sec,min_sec,max_sec
DNSLINK_IPFS,broker_discovery,30,0.026221,0.026184,0.004393,0.017882,0.040594
DNSLINK_IPFS,canonical_request_payload,30,0.000027,0.000018,0.000043,0.000010,0.000250
DNSLINK_IPFS,client_ephemeral_public_key,30,0.000005,0.000005,0.000002,0.000003,0.000014
DNSLINK_IPFS,client_request_sign,30,0.000359,0.000361,0.000086,0.000188,0.000540
DNSLINK_IPFS,client_session_init,30,0.000180,0.000179,0.000045,0.000098,0.000249
DNSLINK_IPFS,client_session_key_derivation,30,0.000023,0.000022,0.000005,0.000013,0.000036
DNSLINK_IPFS,client_shared_secret_derivation,30,0.000273,0.000279,0.000055,0.000157,0.000357
DNSLINK_IPFS,compute_transcript,30,0.000029,0.000027,0.000009,0.000016,0.000051
DNSLINK_IPFS,crypto_scenario_total,30,0.000039,0.000038,0.000007,0.000027,0.000055
DNSLINK_IPFS,dap_create_capability,30,0.000823,0.000823,0.000194,0.000453,0.001172
DNSLINK_IPFS,dap_encrypt_enc_cap,30,0.000826,0.000795,0.000197,0.000465,0.001185
DNSLINK_IPFS,dap_scenario_total,30,0.001649,0.001611,0.000381,0.000918,0.002290
DNSLINK_IPFS,decrypt_message,30,0.000010,0.000010,0.000003,0.000006,0.000021
DNSLINK_IPFS,discovery_scenario_total,30,0.026221,0.026184,0.004393,0.017882,0.040594
DNSLINK_IPFS,encrypt_message,30,0.000029,0.000028,0.000005,0.000021,0.000043
DNSLINK_IPFS,generate_identity_c1,30,0.000186,0.000188,0.000006,0.000173,0.000193
DNSLINK_IPFS,generate_identity_cp,30,0.002404,0.002406,0.000150,0.002130,0.002754
DNSLINK_IPFS,generate_identity_s1,30,0.000183,0.000185,0.000005,0.000172,0.000192
DNSLINK_IPFS,generate_identity_sp,30,0.000197,0.000201,0.000010,0.000178,0.000212
DNSLINK_IPFS,idap_authorize,30,0.046395,0.043130,0.009417,0.030879,0.074400
DNSLINK_IPFS,idap_replay_check,30,0.048822,0.046044,0.010195,0.033311,0.074231
DNSLINK_IPFS,idap_scenario_total,30,0.108380,0.107596,0.018024,0.079830,0.157680
DNSLINK_IPFS,initialize_store,30,0.000005,0.000005,0.000001,0.000004,0.000006
DNSLINK_IPFS,publish_identity_c1,30,0.303901,0.178664,0.316913,0.156416,1.112830
DNSLINK_IPFS,publish_identity_cp,30,0.631226,0.774926,0.266174,0.173003,0.845978
DNSLINK_IPFS,publish_identity_s1,30,0.207881,0.174320,0.165250,0.155629,1.078669
DNSLINK_IPFS,publish_identity_sp,30,0.241074,0.178503,0.223883,0.153809,1.061599
DNSLINK_IPFS,publish_provider_registry,30,0.204927,0.174731,0.164858,0.162009,1.076433
DNSLINK_IPFS,publish_scenario_total,30,1.797635,1.680600,0.464959,0.978363,2.856729
DNSLINK_IPFS,publish_service_metadata,30,0.208625,0.174859,0.164096,0.157450,1.072658
DNSLINK_IPFS,resolve_service_public_key,30,0.011890,0.011234,0.004058,0.005238,0.026012
DNSLINK_IPFS,startup_scenario_total,30,0.002975,0.002985,0.000153,0.002709,0.003337
DNSLINK_IPFS,tampered_request_sign,30,0.000329,0.000328,0.000068,0.000196,0.000437
DNSLINK_IPFS,tampering_check,30,0.045566,0.045087,0.009135,0.020202,0.068222
DNSLINK_IPFS,tampering_scenario_total,30,0.045895,0.045391,0.009177,0.020438,0.068604
DNSLINK_IPFS,total_flow,30,1.986598,1.856624,0.468891,1.148813,3.106052
DNSLINK_IPFS,transcript_verify,30,0.000378,0.000398,0.000077,0.000221,0.000543
IPFS,broker_discovery,30,0.031105,0.031174,0.006853,0.020663,0.045793
IPFS,canonical_request_payload,30,0.000016,0.000016,0.000003,0.000010,0.000024
IPFS,client_ephemeral_public_key,30,0.000013,0.000007,0.000026,0.000004,0.000147
IPFS,client_request_sign,30,0.000334,0.000333,0.000076,0.000202,0.000517
IPFS,client_session_init,30,0.000263,0.000190,0.000160,0.000112,0.000763
IPFS,client_session_key_derivation,30,0.000087,0.000035,0.000180,0.000015,0.000915
IPFS,client_shared_secret_derivation,30,0.000221,0.000217,0.000046,0.000158,0.000354
IPFS,compute_transcript,30,0.000016,0.000015,0.000005,0.000010,0.000040
IPFS,crypto_scenario_total,30,0.000047,0.000034,0.000044,0.000017,0.000267
IPFS,dap_create_capability,30,0.000983,0.000941,0.000360,0.000445,0.002123
IPFS,dap_encrypt_enc_cap,30,0.011265,0.010970,0.003347,0.001414,0.018125
IPFS,dap_scenario_total,30,0.012248,0.011841,0.003408,0.002362,0.019045
IPFS,decrypt_message,30,0.000008,0.000007,0.000006,0.000005,0.000038
IPFS,discovery_scenario_total,30,0.031105,0.031174,0.006853,0.020663,0.045793
IPFS,encrypt_message,30,0.000039,0.000027,0.000044,0.000012,0.000258
IPFS,generate_identity_c1,30,0.000176,0.000173,0.000006,0.000171,0.000191
IPFS,generate_identity_cp,30,0.006034,0.005605,0.002008,0.002818,0.014575
IPFS,generate_identity_s1,30,0.000173,0.000170,0.000007,0.000168,0.000189
IPFS,generate_identity_sp,30,0.000188,0.000186,0.000007,0.000181,0.000205
IPFS,idap_authorize,30,0.015781,0.014792,0.005959,0.010018,0.034485
IPFS,idap_replay_check,30,0.011606,0.010473,0.004875,0.007001,0.027498
IPFS,idap_scenario_total,30,0.031069,0.028299,0.010727,0.019980,0.068532
IPFS,initialize_store,30,0.000145,0.000141,0.000047,0.000092,0.000333
IPFS,publish_identity_c1,30,24.859811,20.193826,18.500252,5.024061,81.100920
IPFS,publish_identity_cp,30,24.751663,17.317166,19.400189,4.003985,61.639842
IPFS,publish_identity_s1,30,21.271591,13.119451,17.694450,4.293293,66.750211
IPFS,publish_identity_sp,30,25.489878,12.571050,22.514879,3.155244,73.505546
IPFS,publish_provider_registry,30,33.577869,26.721400,22.639041,2.799874,87.843309
IPFS,publish_scenario_total,30,157.410479,152.533596,42.630137,60.550738,252.895391
IPFS,publish_service_metadata,30,27.459668,19.475803,20.452920,3.465444,84.191216
IPFS,resolve_service_public_key,30,0.002439,0.002123,0.000953,0.001484,0.005343
IPFS,startup_scenario_total,30,0.006716,0.006286,0.002027,0.003506,0.015278
IPFS,tampered_request_sign,30,0.000273,0.000260,0.000062,0.000189,0.000471
IPFS,tampering_check,30,0.010086,0.009004,0.003281,0.007043,0.023220
IPFS,tampering_scenario_total,30,0.010359,0.009330,0.003310,0.007244,0.023550
IPFS,total_flow,30,157.510301,152.632966,42.635707,60.626887,253.002484
IPFS,transcript_verify,30,0.000292,0.000284,0.000063,0.000199,0.000457
KNOT_DNS,broker_discovery,30,0.025599,0.023878,0.007922,0.013046,0.048018
KNOT_DNS,canonical_request_payload,30,0.000031,0.000024,0.000021,0.000010,0.000097
KNOT_DNS,client_ephemeral_public_key,30,0.000007,0.000006,0.000003,0.000003,0.000017
KNOT_DNS,client_request_sign,30,0.000521,0.000415,0.000560,0.000213,0.003351
KNOT_DNS,client_session_init,30,0.000222,0.000226,0.000109,0.000094,0.000610
KNOT_DNS,client_session_key_derivation,30,0.000029,0.000027,0.000011,0.000012,0.000052
KNOT_DNS,client_shared_secret_derivation,30,0.000322,0.000339,0.000089,0.000159,0.000486
KNOT_DNS,compute_transcript,30,0.000040,0.000036,0.000018,0.000013,0.000087
KNOT_DNS,crypto_scenario_total,30,0.000054,0.000050,0.000024,0.000022,0.000144
KNOT_DNS,dap_create_capability,30,0.001153,0.001101,0.000595,0.000461,0.002954
KNOT_DNS,dap_encrypt_enc_cap,30,0.001267,0.001057,0.001072,0.000442,0.005604
KNOT_DNS,dap_scenario_total,30,0.002421,0.002183,0.001424,0.000903,0.006842
KNOT_DNS,decrypt_message,30,0.000012,0.000012,0.000006,0.000005,0.000036
KNOT_DNS,discovery_scenario_total,30,0.025599,0.023878,0.007922,0.013046,0.048018
KNOT_DNS,encrypt_message,30,0.000042,0.000038,0.000021,0.000016,0.000125
KNOT_DNS,generate_identity_c1,30,0.000184,0.000187,0.000006,0.000173,0.000193
KNOT_DNS,generate_identity_cp,30,0.002632,0.002297,0.001537,0.002137,0.010697
KNOT_DNS,generate_identity_s1,30,0.000184,0.000185,0.000007,0.000171,0.000200
KNOT_DNS,generate_identity_sp,30,0.000196,0.000198,0.000009,0.000179,0.000215
KNOT_DNS,idap_authorize,30,0.040176,0.041003,0.010938,0.020888,0.073954
KNOT_DNS,idap_replay_check,30,0.040591,0.042371,0.010268,0.022387,0.065772
KNOT_DNS,idap_scenario_total,30,0.092598,0.094579,0.021555,0.050764,0.134943
KNOT_DNS,initialize_store,30,0.000004,0.000004,0.000000,0.000003,0.000004
KNOT_DNS,publish_identity_c1,30,0.309963,0.160924,0.347788,0.129173,1.089249
KNOT_DNS,publish_identity_cp,30,0.447448,0.182967,0.317851,0.146415,0.896025
KNOT_DNS,publish_identity_s1,30,0.220808,0.160653,0.229867,0.137223,1.075445
KNOT_DNS,publish_identity_sp,30,0.220299,0.158503,0.237624,0.131157,1.095336
KNOT_DNS,publish_provider_registry,30,0.598185,0.345304,0.412608,0.286919,1.273281
KNOT_DNS,publish_scenario_total,30,2.330845,2.238238,0.455529,1.147250,3.065088
KNOT_DNS,publish_service_metadata,30,0.534142,0.328231,0.392740,0.278880,1.275813
KNOT_DNS,resolve_service_public_key,30,0.010190,0.010076,0.002483,0.005610,0.015374
KNOT_DNS,startup_scenario_total,30,0.003200,0.002870,0.001538,0.002711,0.011269
KNOT_DNS,tampered_request_sign,30,0.000418,0.000439,0.000125,0.000194,0.000632
KNOT_DNS,tampering_check,30,0.043968,0.044765,0.011049,0.025901,0.061771
KNOT_DNS,tampering_scenario_total,30,0.044385,0.045251,0.011139,0.026095,0.062313
KNOT_DNS,total_flow,30,2.505009,2.421127,0.449615,1.334399,3.247443
KNOT_DNS,transcript_verify,30,0.000470,0.000478,0.000165,0.000215,0.000862
